county,trump_2024_pct,total_2024,reg_dem_pct,reg_rep_pct,reg_npp_pct,place_type,edu_bachelor_plus_pct,hh_100k_plus_pct,hispanic_pct,reg_total,reg_hisp_pct,reg_white_pct,reg_black_pct,reg_asian_pct,reg_other_pct
Alameda,25.6,760,56,11,27,Urban,51,55,22,798375,14.9,41.2,13.2,25.8,4.9
Alpine,42.0,0.8,38,28,28,Rural,33,40,11,872,8.2,70.6,0.0,0.3,20.9
Amador,62.5,22,28,44,22,Rural,22,33,14,25792,10.4,82.4,2.0,1.0,4.2
Butte,54.0,105,31,38,25,Exurb,27,28,18,124880,11.4,78.9,1.9,3.5,4.4
Calaveras,62.0,28,27,43,24,Rural,25,31,13,28615,9.0,85.0,0.9,1.4,3.7
Colusa,60.5,8,33,38,23,Rural,16,30,60,8997,39.4,54.0,2.5,0.6,3.4
Contra Costa,33.5,580,49,19,27,Suburb,44,56,27,583376,16.7,53.5,10.4,15.0,4.5
Del Norte,56.0,11,32,35,26,Rural,16,24,22,15633,13.1,71.3,3.5,2.4,9.6
El Dorado,56.5,115,28,41,25,Exurb,38,47,14,113458,8.2,84.2,0.8,3.6,3.2
Fresno,50.5,350,39,35,21,Urban,23,30,54,437994,40.1,41.6,5.8,9.6,2.8
Glenn,66.0,11,28,44,22,Rural,16,28,41,13639,26.6,66.9,0.4,2.7,3.4
Humboldt,38.5,65,41,24,29,Rural,30,26,13,82378,7.3,81.3,1.6,2.1,7.8
Imperial,44.0,48,49,24,22,Rural,15,26,86,67824,75.6,16.9,4.4,1.3,1.7
Inyo,54.0,9,30,38,26,Rural,27,30,24,10812,14.2,72.2,0.5,1.1,12.0
Kern,59.0,270,35,39,20,Exurb,18,32,56,386271,38.7,47.3,6.8,4.3,3.0
Kings,60.0,42,35,38,21,Rural,16,30,57,67666,39.6,43.8,8.9,4.0,3.7
Lake,52.0,30,38,31,25,Rural,18,22,22,38484,11.9,79.8,2.3,1.1,4.9
Lassen,73.0,11,24,47,24,Rural,14,30,19,19135,14.0,69.6,10.4,1.3,4.8
Los Angeles,33.0,3500,50,18,26,Urban,35,41,49,4506553,35.5,36.9,10.8,13.9,2.9
Madera,60.0,55,34,39,20,Exurb,17,30,60,67194,39.6,50.3,3.9,2.2,3.9
Marin,24.0,160,54,14,27,Suburb,60,64,16,145247,7.6,81.8,2.6,5.1,2.9
Mariposa,60.0,11,29,41,24,Rural,26,28,14,10486,6.2,86.5,1.0,1.0,5.2
Mendocino,38.0,45,44,24,27,Rural,27,25,27,50384,13.8,78.0,0.7,1.5,6.0
Merced,53.5,95,42,32,20,Exurb,15,26,63,110613,44.5,41.0,4.5,7.2,2.8
Modoc,76.0,5,23,49,23,Rural,16,23,19,5245,8.9,83.6,2.0,1.5,4.0
Mono,48.0,7,33,33,28,Rural,33,35,30,7215,13.5,80.7,0.3,1.9,3.6
Monterey,37.0,160,47,24,24,Suburb,28,33,60,171856,35.7,50.1,3.8,6.6,3.8
Napa,33.0,75,47,22,26,Suburb,37,49,35,71354,20.3,67.1,2.2,6.9,3.5
Nevada,50.5,65,34,35,26,Exurb,38,36,11,63977,5.4,90.3,0.5,1.1,2.7
Orange,44.0,1450,36,33,26,Suburb,42,50,35,1532674,22.9,52.9,2.0,19.1,3.1
Placer,55.0,230,27,42,24,Suburb,40,52,16,230195,9.7,79.0,1.8,6.2,3.3
Plumas,64.0,12,28,42,24,Rural,24,28,11,12477,6.4,87.8,1.4,0.5,3.9
Riverside,50.5,1000,39,33,22,Suburb,24,39,51,1144868,37.2,45.7,8.0,6.1,3.0
